names                 |weights               |costs                 |unit_costs            
Ейскиий               |['АГК-0118']          |12.03                 |2018-12-06 09:27:44.541860
Ейскиий               |['АГК-0119']          |12.29                 |2018-12-06 09:27:44.800274
Лабинский             |['АГК-0120']          |12.58                 |2018-12-06 09:27:45.063369
Лабинский             |['АГК-0121']          |12.56                 |2018-12-06 09:27:45.338938
Лабинский             |['АГК-0122']          |12.00                 |2018-12-06 09:27:45.627790
Лабинский             |['АГК-0123']          |12.64                 |2018-12-06 09:27:45.898130
Лабинский             |['АГК-0124']          |12.62                 |2018-12-06 09:27:46.170024
Лабинский             |['АГК-0125']          |12.37                 |2018-12-06 09:27:46.459256
Крымский              |['АГК-0126']          |12.72                 |2018-12-06 09:27:46.731972
Лабинский             |['АГК-0127']          |12.33                 |2018-12-06 09:27:46.987712
Лабинский             |['АГК-0128']          |12.59                 |2018-12-06 09:27:47.256701
Лабинский             |['АГК-0129']          |12.42                 |2018-12-06 09:27:47.506042
Лабинский             |['АГК-0130']          |12.49                 |2018-12-06 09:27:47.766980
Курганинский          |['АГК-0131']          |12.60                 |2018-12-06 09:27:48.043705
Курганинский          |['АГК-0132']          |12.39                 |2018-12-06 09:27:48.319432
Курганинский          |['АГК-0133']          |12.63                 |2018-12-06 09:27:48.571595
Новокубанский         |['АГК-0134']          |12.35                 |2018-12-06 09:27:48.826446
Новокубанский         |['АГК-0135']          |11.51                 |2018-12-06 09:27:49.097804
Новокубанский         |['АГК-0136']          |12.21                 |2018-12-06 09:27:49.365839
Успенский             |['АГК-0137']          |--.--                 |2018-12-06 09:27:49.646314
Мостовской            |['АГК-0138']          |12.15                 |2018-12-06 09:27:49.896114
Мостовской            |['АГК-0139']          |12.87                 |2018-12-06 09:27:50.140740
Туапсинский           |['АГК-0140']          |12.08                 |2018-12-06 09:27:50.423795
Туапсинский           |['АГК-0141']          |13.19                 |2018-12-06 09:27:50.717175
Туапсинский           |['АГК-0142']          |12.35                 |2018-12-06 09:27:51.008866
Туапсинский           |['АГК-0143']          |11.59                 |2018-12-06 09:27:51.301723
Туапсинский           |['АГК-0144']          |--.--                 |2018-12-06 09:27:51.555866
Туапсинский           |['АГК-0145']          |12.28                 |2018-12-06 09:27:51.838824
Туапсинский           |['АГК-0147']          |12.65                 |2018-12-06 09:27:52.091802
Туапсинский           |['АГК-0148']          |11.69                 |2018-12-06 09:27:52.344440
Сочи-                 |['АГК-0149']          |12.03                 |2018-12-06 09:27:52.620074
Сочи-                 |['АГК-0150']          |11.91                 |2018-12-06 09:27:52.871279
Сочи-                 |['АГК-0151']          |12.10                 |2018-12-06 09:27:53.134409
Сочи-                 |['АГК-0152']          |14.43                 |2018-12-06 09:27:53.400543
Сочи-                 |['АГК-0153']          |12.01                 |2018-12-06 09:27:53.662313
Сочи-                 |['АГК-0154']          |12.09                 |2018-12-06 09:27:53.919572
Сочи-                 |['АГК-0155']          |12.68                 |2018-12-06 09:27:54.193734
Сочи-                 |['АГК-0156']          |12.30                 |2018-12-06 09:27:54.468872
Сочи-                 |['АГК-0157']          |12.97                 |2018-12-06 09:27:54.743151
Сочи-                 |['АГК-0158']          |11.55                 |2018-12-06 09:27:54.998274
Сочи-                 |['АГК-0159']          |11.89                 |2018-12-06 09:27:55.264358
Сочи-                 |['АГК-0160']          |13.93                 |2018-12-06 09:27:55.509456
Сочи-                 |['АГК-0161']          |12.48                 |2018-12-06 09:27:55.772945
Сочи-                 |['АГК-0162']          |12.42                 |2018-12-06 09:27:56.026896
Сочи-                 |['АГК-0163']          |11.40                 |2018-12-06 09:27:56.267065
Сочи-                 |['АГК-0165']          |12.65                 |2018-12-06 09:27:56.533932
Сочи-                 |['АГК-0166']          |12.42                 |2018-12-06 09:27:56.812071
Сочи-                 |['АГК-0167']          |10.95                 |2018-12-06 09:27:57.056954
Сочи-                 |['АГК-0169']          |11.76                 |2018-12-06 09:27:57.296608
Сочи-                 |['АГК-0170']          |12.62                 |2018-12-06 09:27:57.554452
Сочи-                 |['АГК-0171']          |11.93                 |2018-12-06 09:27:57.793658
Сочи-                 |['АГК-0172']          |11.69                 |2018-12-06 09:27:58.033850
Сочи-                 |['АГК-0173']          |11.41                 |2018-12-06 09:27:58.294351
Сочи-                 |['АГК-0174']          |11.67                 |2018-12-06 09:27:58.537633
Сочи-                 |['АГК-0175']          |--.--                 |2018-12-06 09:27:58.789322
Сочи-                 |['АГК-0176']          |11.72                 |2018-12-06 09:27:59.052073
Сочи-                 |['АГК-0177']          |12.33                 |2018-12-06 09:27:59.300245
Сочи-                 |['АГК-0178']          |12.49                 |2018-12-06 09:27:59.553575
Сочи-                 |['АГК-0179']          |13.69                 |2018-12-06 09:27:59.788871
Сочи-                 |['АГК-0180']          |12.29                 |2018-12-06 09:28:00.031397
Сочи-                 |['АГК-0181']          |12.61                 |2018-12-06 09:28:00.267871
Сочи-                 |['АГК-0182']          |11.76                 |2018-12-06 09:28:00.522986
Сочи-                 |['АГК-0183']          |12.52                 |2018-12-06 09:28:00.789659
Сочи-                 |['АГК-0184']          |12.59                 |2018-12-06 09:28:01.072339
Сочи-                 |['АГК-0185']          |11.41                 |2018-12-06 09:28:01.342110
Сочи-                 |['АГК-0186']          |12.39                 |2018-12-06 09:28:01.601272
Сочи-                 |['АГК-0187']          |8.56;                 |2018-12-06 09:28:01.874119
Сочи-                 |['АГК-0188']          |12.46                 |2018-12-06 09:28:02.135329
Сочи-                 |['АГК-0189']          |12.44                 |2018-12-06 09:28:02.407517
Сочи-                 |['АГК-0190']          |12.45                 |2018-12-06 09:28:02.678654
Сочи-                 |['АГК-0191']          |12.25                 |2018-12-06 09:28:02.929321
Сочи-                 |['АГК-0192']          |12.62                 |2018-12-06 09:28:03.190927
Сочи-                 |['АГК-0193']          |12.43                 |2018-12-06 09:28:03.457262
Неизвестно            |['АГК-0194']          |13.09                 |2018-12-06 09:28:03.734418
Неизвестно            |['АГК-0195']          |13.11                 |2018-12-06 09:28:04.016797
Неизвестно            |['АГК-0196']          |13.20                 |2018-12-06 09:28:04.282683
Неизвестно            |['АГК-0198']          |--.--                 |2018-12-06 09:28:04.512170
Неизвестно            |['АГК-0199']          |12.06                 |2018-12-06 09:28:04.759859
Неизвестно            |['АГК-0200']          |11.04                 |2018-12-06 09:28:05.019857
